Student_ID,Reference Number,First Name ,Last Name ,Gender ,Marital Status,Academic Year ,Entry Semester ,Degree Type ,Course/Degree,Level offered,Student Status,current level,Preferred Entry Level,Conditional/ Unconditional ,Conditions,Application Date,Date of Birth,National ID No,Nationality,Mobile Number,Uni_Email Address,Personal Email,Sponsored Students (Yes / No),Name of Company Sponsor,Home Address 1,Home Address 2,Home Address 3,Home Address 4,Student Bursary Details,Bursary Discount %,Disability / Health Issues,Recent Education System,Most Recent Educational Institute,Qualifications,IELTS,Employment History,How did you hear about us ?,Acceptance Letter
10000016,16,Jessica,Bell,F,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Unconditional,,12/07/2017,09/10/1995,24345944431,Pakistan,+38 8294150,student10000016@sample.edu,ellisclaudia@gmail.com,No,,6173 Moore Radial,Port Mike,Pakistan,,,,00 No known disability,Pakistani System,Jorgehaven College,Pakistani A-Level: AAB,6,,Search Engine: Google,Received
10000017,17,Ruth,Garcia,F,Single,2017/18,2017 September,MA (Hons),Accountancy & Finance,1,Graduated 2020-21,Graduate,1,Unconditional,,10/06/2017,15/12/2000,34747439214,India,+65 2785277,student10000017@sample.edu,cheryl18@gmail.com,No,,57306 Amy Mountains,North Tricia,India,,,,00 No known disability,Indian ICSE,Port Manuelton College,Indian ICSE: 85%,7,,Family/Friends,Received
10000018,18,Ryan,Flores,M,Single,2017/18,2017 September,MA (Hons),Business Management,2,Graduated 2019-20,Graduate,2,Conditional,IELTS score of 6.0 or above,21/02/2017,13/02/1992,34749795425,Egypt,+70 9897858,student10000018@sample.edu,mooresue@gmail.com,No,,10172 Tiffany Station,Courtneyside,Egypt,,,,00 No known disability,Foundation Year,Pearsonfort College,International Baccalaureate: 35 points,6.5,,Social Media,Received
10000019,19,Lisa,Jones,F,Single,2017/18,2017 September,MA (Hons),Business Management,2,Dropped out,,2,Conditional,Submission of certified academic documents,28/08/2017,10/09/1999,61235088433,Jordan,+40 5017343,student10000019@sample.edu,schneiderhenry@gmail.com,No,,092 David Locks,Lake Nicholasbury,Jordan,,,,00 No known disability,IB,Howardstad College,International Baccalaureate: 35 points,7,,Alumni Referral,Received
10000020,20,Jesus,Peters,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Conditional,Completion of foundation year requirements,14/06/2017,07/10/1995,22094727776,Pakistan,+98 9937326,student10000020@sample.edu,jennifer56@gmail.com,No,,4384 Reginald Inlet,Wilsonton,Pakistan,,,,00 No known disability,Pakistani System,South Brian College,Pakistani Intermediate: 80%,6,,Education Agent,Received
10000021,21,Ruth,Pierce,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,25/03/2017,22/01/1999,45068953259,Bangladesh,+68 8099076,student10000021@sample.edu,wrodriguez@gmail.com,No,,021 Victoria Knoll Suite 464,Port Alexland,Bangladesh,,,,00 No known disability,Foundation Year,Caldwellchester College,Foundation Year: 75%,7,,Social Media,Received
10000022,22,Ian,Warren,M,Single,2017/18,2017 September,MA (Hons),Business Management,3,Graduated 2018-19,Graduate,3,Unconditional,,03/08/2017,03/05/1997,98784219449,Canada,+48 8350099,student10000022@sample.edu,miranda16@gmail.com,No,,8014 Parks Walk,Kingborough,Canada,,,,00 No known disability,Canadian System,East Johntown College,Canadian High School Diploma: 85% average,,,Family/Friends,Received
10000023,23,David,Delgado,M,Single,2017/18,2017 September,MA (Hons),Business Management,2,Graduated 2019-20,Graduate,2,Unconditional,,30/01/2017,13/02/1997,53224662108,United States,+3 4860684,student10000023@sample.edu,zunigakathryn@gmail.com,Yes,Amazon Web Services,7607 Dustin Prairie,Hughesfort,US,,,,00 No known disability,High School Diploma,Travisville College,High School Diploma with GPA 3.5/4.0,,,LinkedIn,Received
10000024,24,Wayne,Horton,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,11/02/2017,21/08/1996,40317631968,India,+9 1527021,student10000024@sample.edu,sampsonbrittany@gmail.com,No,,9621 Christine Groves,North Raymond,India,,,,00 No known disability,Indian CBSE,Helenborough College,Indian ICSE: 85%,6.5,,Education Agent,Received
10000025,25,James,Campbell,M,Single,2017/18,2017 September,MA (Hons),Business Management,2,Graduated 2019-20,Graduate,2,Unconditional,,28/05/2017,12/03/1995,37854643175,Pakistan,+70 3219824,student10000025@sample.edu,emcdaniel@gmail.com,No,,1956 Christopher Junctions,Port Kristenport,Pakistan,,Student Ambassador Bursary,50%,00 No known disability,Pakistani System,Debratown College,Pakistani Intermediate: 80%,6,,Email Campaign,Received
10000026,26,Chris,Jackson,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,14/07/2017,22/04/1995,69302748061,United States,+25 2582524,student10000026@sample.edu,millershannon@gmail.com,No,,273 Natalie Track,North Julie,US,,,,00 No known disability,High School Diploma,Port James College,High School Diploma with GPA 3.5/4.0,,,School Visit,Received
10000027,27,Amber,Cooper,F,Married,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Conditional,English Language Proficiency Test with minimum B grade,22/07/2017,30/12/1996,17426324250,United Kingdom,+87 2651177,student10000027@sample.edu,vlopez@gmail.com,No,,62944 Guerrero Tunnel Suite 047,South Amy,UK,,,,00 No known disability,BTEC,Aliciachester College,"A-Level: AAB in Biology, Chemistry, Mathematics",,,Family/Friends,Received
10000028,28,Jason,Carey,M,Married,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,22/04/2017,21/10/1999,83831385071,Jordan,+58 3351868,student10000028@sample.edu,berryjonathan@gmail.com,No,,2234 Bowen Fort Apt. 297,Kelseymouth,Jordan,,,,00 No known disability,IB,North Jordanshire College,Foundation Year: 75%,6.5,,Education Agent,Received
10000029,29,Lisa,Torres,F,Married,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,25/08/2017,24/09/1998,22555330172,Egypt,+57 2642635,student10000029@sample.edu,zachary13@gmail.com,No,,1353 Joshua Falls Apt. 531,Madisonfort,Egypt,,Staff Dependent Bursary,50%,00 No known disability,IB,Danielfort College,International Baccalaureate: 35 points,7,,Facebook,Received
10000030,30,Joseph,Mclaughlin,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,07/02/2017,15/03/1997,43709891493,Canada,+22 7818496,student10000030@sample.edu,david67@gmail.com,No,,7409 David Rest Suite 360,Martinezbury,Canada,,,,00 No known disability,Canadian System,East Pamela College,Canadian High School Diploma: 80% average,,,Website,Received
10000031,31,Nicole,Martin,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,18/07/2017,30/05/1994,62246718600,Philippines,+1 7550190,student10000031@sample.edu,reginastevens@gmail.com,No,,398 Brandon Burgs,Marcville,Philippines,,,,00 No known disability,IB,New Erinfort College,International Baccalaureate: 35 points,7,,School Visit,Received
10000032,32,Diane,Schmidt,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,07/07/2017,22/04/1992,77510049482,United States,+20 4185957,student10000032@sample.edu,smiller@gmail.com,No,,626 Brandon Pike Suite 980,Rogersstad,US,,,,00 No known disability,High School Diploma,East Steveport College,High School Diploma with GPA 3.5/4.0,,,LinkedIn,Received
10000033,33,Michael,Martinez,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Conditional,Submission of official transcripts within 30 days,25/06/2017,08/01/1995,14540490283,India,+75 8999183,student10000033@sample.edu,psmith@gmail.com,No,,4480 Snyder Freeway Suite 387,Michaelview,India,,,,00 No known disability,Indian ICSE,Justinmouth College,Indian ICSE: 85%,6.5,,Social Media,Received
10000034,34,Raymond,Hodge,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Dropped out,,1,Unconditional,,28/06/2017,13/06/2000,20771041378,Canada,+24 2149597,student10000034@sample.edu,jordanvanessa@gmail.com,No,,542 Kevin Flat,Stephensmouth,Canada,,,,00 No known disability,Canadian System,Richardburgh College,Canadian High School Diploma: 80% average,,,Outreach Activity: Open Day,Received
10000035,35,Mary,Allen,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,09/08/2017,07/02/1996,91133166233,Philippines,+32 1666754,student10000035@sample.edu,amberbrown@gmail.com,No,,0041 Coleman Station Apt. 439,New Alicialand,Philippines,,,,00 No known disability,IB,North Allison College,International Baccalaureate: 35 points,7,,LinkedIn,Received
10000036,36,Cassandra,Jones,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,30/03/2017,21/04/1995,56025693325,United Kingdom,+31 5456272,student10000036@sample.edu,lisa80@gmail.com,No,,34644 Cummings Ramp,Williamston,UK,,Staff Dependent Bursary,50%,00 No known disability,BTEC,South Jonathon College,BTEC Extended Diploma: D*D*D*,,,Website,Received
10000037,37,Becky,Soto,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,26/01/2017,29/07/1993,10311570307,Egypt,+59 2677407,student10000037@sample.edu,christianreynolds@gmail.com,No,,543 Ewing Wall Suite 769,Davidfort,Egypt,,,,00 No known disability,Foundation Year,Armstrongburgh College,Foundation Year: 75%,6.5,,Instagram,Received
10000038,38,Jill,Gray,F,Married,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,04/05/2017,09/03/1993,58293833828,Philippines,+37 3646552,student10000038@sample.edu,dunlapdanielle@gmail.com,No,,7965 Angelica Estates Suite 544,New Anthonyton,Philippines,,,,00 No known disability,IB,West Zachary College,Foundation Year: 75%,6.5,,Social Media,Received
10000039,39,Barbara,Peterson,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,30/03/2017,24/04/1998,81528283622,Canada,+2 6022741,student10000039@sample.edu,bthornton@gmail.com,No,,2668 Hebert Street Apt. 987,Lake Kristachester,Canada,,,,00 No known disability,Canadian System,Charlesside College,Canadian High School Diploma: 85% average,,,Alumni Referral,Received
10000040,40,Mario,Hendrix,M,Single,2017/18,2017 September,MA (Hons),Business Management,2,Graduated 2019-20,Graduate,2,Unconditional,,14/01/2017,09/09/1992,26706188887,Pakistan,+96 3607983,student10000040@sample.edu,maryjohnson@gmail.com,No,,958 Kelly Trafficway Suite 202,South Justin,Pakistan,,,,Asthma,Pakistani System,Williamsside College,Pakistani Intermediate: 80%,6.5,,Search Engine: Google,Received
10000041,41,Kimberly,Ewing,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,04/02/2017,13/10/1994,79853278950,Philippines,+63 5213115,student10000041@sample.edu,laura35@gmail.com,No,,109 Debra Trafficway,Cannonberg,Philippines,,,,00 No known disability,IB,Williamfort College,Foundation Year: 75%,7,,Family/Friends,Received
10000042,42,Dominic,Smith,M,Single,2017/18,2017 September,MA (Hons),Business Management,2,Graduated 2019-20,Graduate,2,Conditional,Mathematics proficiency test with minimum 60%,16/06/2017,05/04/1995,47921761308,India,+6 1059486,student10000042@sample.edu,lopezwilliam@gmail.com,No,,0778 Carlos Dale,Smithbury,India,,,,00 No known disability,Indian ICSE,Ryanburgh College,Indian ICSE: 85%,6.5,,Education Agent,Received
10000043,43,Rebecca,Byrd,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Conditional,IELTS score of 6.0 or above,18/05/2017,03/08/1992,84912113097,Bangladesh,+91 8175395,student10000043@sample.edu,huangbrittany@gmail.com,No,,7145 Michelle Course,Pearsonville,Bangladesh,,,,00 No known disability,IB,Joanborough College,International Baccalaureate: 35 points,7,,Instagram,Received
10000044,44,Christopher,Ramirez,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Conditional,English Language Proficiency Test with minimum B grade,29/06/2017,05/02/2000,83654627323,Pakistan,+5 7194416,student10000044@sample.edu,williamrobinson@gmail.com,No,,4622 Jones Plains Apt. 712,New Joe,Pakistan,,,,00 No known disability,Pakistani System,South Hollyberg College,Pakistani Intermediate: 80%,6.5,,University Fair,Received
10000045,45,Jamie,Nixon,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,02/08/2017,14/11/1998,58568599783,Bangladesh,+6 7003042,student10000045@sample.edu,loriruiz@gmail.com,No,,752 Harris Expressway Apt. 779,Palmershire,Bangladesh,,,,ADHD,Foundation Year,Rodriguezland College,International Baccalaureate: 35 points,7,,University Fair,Received
10000046,46,Steven,Contreras,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,20/05/2017,13/07/1999,69591437379,Philippines,+80 3592974,student10000046@sample.edu,xadams@gmail.com,Yes,Amazon Web Services,6699 Pearson Tunnel,Mileston,Philippines,,Staff Dependent Bursary,50%,00 No known disability,IB,West Sherry College,Foundation Year: 75%,6.5,,Email Campaign,Received
10000047,47,John,Sweeney,M,Single,2017/18,2017 September,MA (Hons),Business Management,2,Graduated 2019-20,Graduate,2,Unconditional,,06/08/2017,09/09/1993,34957074522,Philippines,+53 1415846,student10000047@sample.edu,charlesthornton@gmail.com,No,,1235 Berry Crest,Port Logan,Philippines,,,,00 No known disability,IB,Bellland College,Foundation Year: 75%,6.5,,Search Engine: Google,Received
10000048,48,Carol,Ward,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,02/08/2017,22/01/1992,43546912874,Jordan,+35 3670896,student10000048@sample.edu,rebecca26@gmail.com,No,,4041 Sanchez Crest Suite 884,Port Vanessa,Jordan,,,,00 No known disability,IB,Johnsonfort College,Foundation Year: 75%,6.5,,University Fair,Received
10000049,49,Lisa,Smith,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,22/06/2017,29/11/1999,78112139383,Pakistan,+29 4348276,student10000049@sample.edu,jeffreypeters@gmail.com,No,,12044 Ortiz Forks Apt. 730,Taylorport,Pakistan,,Staff Dependent Bursary,50%,00 No known disability,Pakistani System,East Ryanfurt College,Pakistani A-Level: AAB,6.5,,Alumni Referral,Received
10000050,50,Tammy,Thomas,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Conditional,Completion of foundation year requirements,12/07/2017,25/05/1992,41042286266,United States,+4 4240180,student10000050@sample.edu,shawsheri@gmail.com,No,,38794 Collins Ford,Port Timothymouth,US,,Staff Dependent Bursary,50%,00 No known disability,High School Diploma,Davidberg College,High School Diploma with GPA 3.8/4.0,,,Education Agent,Received
10000051,51,Gregory,Booth,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Conditional,Mathematics proficiency test with minimum 60%,28/07/2017,10/02/1995,58443472984,Egypt,+83 9546409,student10000051@sample.edu,williamwilson@gmail.com,No,,3422 Ana Tunnel,Jeffreyburgh,Egypt,,,,00 No known disability,Foundation Year,Lake Grant College,Foundation Year: 75%,6.5,,Outreach Activity: Open Day,Received
10000052,52,Kristen,Joseph,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,01/03/2017,15/03/1994,48527577250,Canada,+23 5453786,student10000052@sample.edu,brianholmes@gmail.com,No,,345 Johnny Ridge,South Robert,Canada,,,,00 No known disability,Canadian System,East Ruth College,Canadian High School Diploma: 85% average,,,Instagram,Received
10000053,53,Nicole,Brandt,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,09/07/2017,29/12/2000,67181808671,United Kingdom,+78 9580255,student10000053@sample.edu,vargaslisa@gmail.com,No,,119 Hamilton Curve,South Jeffreyton,UK,,,,00 No known disability,A-Level,South Stephanie College,"A-Level: A*AA in Mathematics, Physics, Economics",,,Outreach Activity: Open Day,Received
10000054,54,Emily,Todd,F,Married,2017/18,2017 September,MA (Hons),Business Management,1,Dropped out,,1,Conditional,Completion of foundation year requirements,20/03/2017,25/09/1996,11872852789,Philippines,+67 4305700,student10000054@sample.edu,marissa85@gmail.com,No,,840 Mcbride Orchard,Deckerborough,Philippines,,,,00 No known disability,Foundation Year,Tuckerhaven College,International Baccalaureate: 35 points,6.5,,School Visit,Received
10000055,55,Toni,Lozano,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,15/03/2017,30/09/1998,52520377395,Pakistan,+65 6188935,student10000055@sample.edu,millerolivia@gmail.com,No,,6395 Rivera Stream Apt. 867,South Margaretview,Pakistan,,,,00 No known disability,Pakistani System,Daniellehaven College,Pakistani A-Level: AAB,6,,Search Engine: Google,Received
10000056,56,Kristie,Young,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Conditional,Submission of official transcripts within 30 days,19/01/2017,10/11/1999,29561052667,Jordan,+25 8053918,student10000056@sample.edu,scottabigail@gmail.com,No,,93550 Williams Lock Apt. 068,Brianhaven,Jordan,,,,00 No known disability,Foundation Year,New Ralphburgh College,Foundation Year: 75%,6.5,,School Visit,Received
10000057,57,James,Walker,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,23/06/2017,07/10/1992,62832177434,United Kingdom,+71 1006810,student10000057@sample.edu,kbuck@gmail.com,No,,2708 Nicole Roads Apt. 148,Michaelborough,UK,,,,00 No known disability,A-Level,Roberthaven College,BTEC Extended Diploma: D*D*D*,,,Facebook,Received
10000058,58,Kaitlin,Brown,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,15/05/2017,25/06/1998,98504937508,Philippines,+42 8801207,student10000058@sample.edu,timothy65@gmail.com,No,,0121 Jacqueline Forks,Hickmanport,Philippines,,,,00 No known disability,Foundation Year,Miguelside College,Foundation Year: 75%,7,,Website,Received
10000059,59,April,Gonzalez,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Conditional,Mathematics proficiency test with minimum 60%,14/06/2017,25/09/1998,34635766833,Philippines,+85 2422633,student10000059@sample.edu,bryanrichardson@gmail.com,No,,613 Hernandez Freeway Suite 279,Cherylstad,Philippines,,Staff Dependent Bursary,50%,00 No known disability,Foundation Year,North Ryan College,Foundation Year: 75%,6.5,,Instagram,Received
10000060,60,Edwin,Jackson,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,27/01/2017,20/01/1992,43290884804,Jordan,+87 6207974,student10000060@sample.edu,jessicabrandt@gmail.com,No,,46664 Christopher Key Suite 813,South Jared,Jordan,,,,00 No known disability,IB,East Brian College,International Baccalaureate: 35 points,6.5,,Alumni Referral,Received
10000061,61,Brent,Coleman,M,Single,2017/18,2017 September,MA (Hons),Business Management,1,Dropped out,,1,Unconditional,,27/06/2017,01/08/1995,93645073667,Philippines,+99 2221854,student10000061@sample.edu,christineharris@gmail.com,No,,69930 Saunders Fields Apt. 264,Millerchester,Philippines,,,,00 No known disability,Foundation Year,East Timothyburgh College,International Baccalaureate: 35 points,6.5,,School Visit,Received
10000062,62,Sara,Butler,F,Married,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Unconditional,,09/02/2017,29/06/1999,28227774388,Philippines,+84 1093026,student10000062@sample.edu,ucook@gmail.com,No,,18850 Smith Gateway Apt. 809,Port Jamesbury,Philippines,,Staff Dependent Bursary,50%,00 No known disability,IB,North Jade College,International Baccalaureate: 35 points,6.5,,University Fair,Received
10000063,63,Amanda,Rivera,F,Single,2017/18,2017 September,MA (Hons),Business Management,2,Graduated 2019-20,Graduate,2,Conditional,Submission of certified academic documents,25/05/2017,02/04/1996,81708395052,Pakistan,+60 1842524,student10000063@sample.edu,christopher90@gmail.com,No,,9204 Kennedy Lodge Suite 599,Lake Johnberg,Pakistan,,,,Asthma,Pakistani System,East Brendamouth College,Pakistani Intermediate: 80%,6,,Education Agent,Received
10000064,64,Rebecca,Smith,F,Single,2017/18,2017 September,MA (Hons),Business Management,1,Graduated 2020-21,Graduate,1,Conditional,Submission of certified academic documents,25/01/2017,31/10/1997,94004944472,Pakistan,+41 8425149,student10000064@sample.edu,erikasanchez@gmail.com,No,,4207 Jordan Radial Suite 845,Hannahstad,Pakistan,,,,00 No known disability,Pakistani System,Barronport College,Pakistani A-Level: AAB,6,,Family/Friends,Received
